region,clinic_visit_week,lag_start,lag_end,rainfall_lagged_mm
Geita,2022-01-01,2021-11-20,2021-12-18,149.97
Geita,2022-01-08,2021-11-27,2021-12-25,193.42
Geita,2022-01-15,2021-12-04,2022-01-01,275.38
Geita,2022-01-22,2021-12-11,2022-01-08,266.31
Geita,2022-01-29,2021-12-18,2022-01-15,250.9
Geita,2022-02-05,2021-12-25,2022-01-22,264.61
Geita,2022-02-12,2022-01-01,2022-01-29,163.46
Geita,2022-02-19,2022-01-08,2022-02-05,197.74
Geita,2022-02-26,2022-01-15,2022-02-12,232.78
Geita,2022-03-05,2022-01-22,2022-02-19,217.99
Geita,2022-03-12,2022-01-29,2022-02-26,251.71
Geita,2022-03-19,2022-02-05,2022-03-05,206.59
Geita,2022-03-26,2022-02-12,2022-03-12,187.05
Geita,2022-04-02,2022-02-19,2022-03-19,147.55
Geita,2022-04-09,2022-02-26,2022-03-26,117.67
Geita,2022-04-16,2022-03-05,2022-04-02,146.99
Geita,2022-04-23,2022-03-12,2022-04-09,116.13
Geita,2022-04-30,2022-03-19,2022-04-16,96.66
Geita,2022-05-07,2022-03-26,2022-04-23,99.96
Geita,2022-05-14,2022-04-02,2022-04-30,140.53
Geita,2022-05-21,2022-04-09,2022-05-07,159.27
Geita,2022-05-28,2022-04-16,2022-05-14,145.8
Geita,2022-06-04,2022-04-23,2022-05-21,113.0
Geita,2022-06-11,2022-04-30,2022-05-28,51.68
Geita,2022-06-18,2022-05-07,2022-06-04,69.7
Geita,2022-06-25,2022-05-14,2022-06-11,69.29
Geita,2022-07-02,2022-05-21,2022-06-18,67.5
Geita,2022-07-09,2022-05-28,2022-06-25,41.97
Geita,2022-07-16,2022-06-04,2022-07-02,1.57
Geita,2022-07-23,2022-06-11,2022-07-09,0.01
Geita,2022-07-30,2022-06-18,2022-07-16,0.01
Geita,2022-08-06,2022-06-25,2022-07-23,0.0
Geita,2022-08-13,2022-07-02,2022-07-30,0.0
Geita,2022-08-20,2022-07-09,2022-08-06,7.25
Geita,2022-08-27,2022-07-16,2022-08-13,7.26
Geita,2022-09-03,2022-07-23,2022-08-20,19.24
Geita,2022-09-10,2022-07-30,2022-08-27,22.49
Geita,2022-09-17,2022-08-06,2022-09-03,21.51
Geita,2022-09-24,2022-08-13,2022-09-10,38.02
Geita,2022-10-01,2022-08-20,2022-09-17,37.95
Geita,2022-10-08,2022-08-27,2022-09-24,43.3
Geita,2022-10-15,2022-09-03,2022-10-01,39.86
Geita,2022-10-22,2022-09-10,2022-10-08,34.36
Geita,2022-10-29,2022-09-17,2022-10-15,23.94
Geita,2022-11-05,2022-09-24,2022-10-22,37.65
Geita,2022-11-12,2022-10-01,2022-10-29,37.55
Geita,2022-11-19,2022-10-08,2022-11-05,35.64
Geita,2022-11-26,2022-10-15,2022-11-12,67.15
Geita,2022-12-03,2022-10-22,2022-11-19,113.39
Geita,2022-12-10,2022-10-29,2022-11-26,132.92
Geita,2022-12-17,2022-11-05,2022-12-03,175.02
Geita,2022-12-24,2022-11-12,2022-12-10,181.01
Geita,2022-12-31,2022-11-19,2022-12-17,137.69
