-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2022 through 12/31/2023 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2022,-3.0,31.875,22.13,21.39,22.94,22.19,21.57,20.35,20.58,21.81,23.14,23.77,22.52,21.86,22.03
T2M,2022,-3.0,32.5,21.85,20.99,22.53,22.02,21.21,20.35,20.7,22.39,23.36,24.61,23.03,21.94,22.09
T2M,2022,-3.0,33.125,21.82,20.85,22.76,22.41,21.99,21.83,22.57,23.41,23.58,25.48,23.96,22.22,22.75
T2M,2022,-3.0,33.75,21.4,20.21,22.84,22.76,22.3,21.48,21.9,22.88,23.02,25.59,24.02,22.09,22.56
T2M,2022,-3.0,34.375,21.55,19.67,22.29,22.51,22.04,20.9,20.85,21.57,22.02,24.74,23.73,22.05,22.01
T2M,2022,-3.0,35.0,19.5,18.51,20.14,20.25,19.95,18.51,18.15,18.55,19.28,21.46,21.83,20.97,19.77
T2M,2022,-3.0,35.625,16.3,16.39,17.35,16.68,15.83,14.31,13.83,13.9,14.74,16.04,17.58,17.6,15.88
T2M,2022,-3.0,36.25,21.53,21.28,23.14,22.47,21.26,19.53,18.85,19.05,20.16,22.27,23.56,23.27,21.36
T2M,2022,-3.0,36.875,20.04,20.56,21.39,20.43,19.04,17.09,16.18,16.48,17.34,19.29,21.05,20.65,19.12
T2M,2022,-3.0,37.5,17.03,17.67,18.38,17.71,16.78,15.19,14.31,14.4,14.74,15.78,17.16,17.4,16.37
T2M,2022,-3.0,38.125,24.13,24.92,25.93,24.64,23.34,21.66,20.35,20.92,21.06,22.41,23.54,23.83,23.05
T2M,2022,-3.0,38.75,27.08,28.2,28.75,26.89,25.43,24.2,22.3,23.18,23.06,24.67,25.69,26.49,25.48
T2M,2022,-3.0,39.375,28.51,29.52,29.72,28.15,25.71,24.48,23.02,23.98,24.12,25.31,26.19,27.59,26.34
T2M,2022,-3.0,40.0,28.29,28.54,28.79,28.63,26.91,25.85,24.45,24.64,24.81,25.67,26.85,27.92,26.77
T2M,2022,-3.5,31.875,22.01,21.0,22.82,22.52,22.44,21.51,21.67,22.73,24.65,25.8,23.31,22.36,22.75
T2M,2022,-3.5,32.5,21.69,20.78,22.4,22.01,21.31,20.52,20.76,22.7,24.0,25.88,23.56,22.09,22.32
T2M,2022,-3.5,33.125,21.75,20.72,22.5,22.25,21.6,20.95,21.58,23.64,24.12,26.42,24.54,22.4,22.72
T2M,2022,-3.5,33.75,22.18,20.66,22.92,23.21,22.66,21.9,22.18,23.71,24.27,26.43,25.13,23.03,23.21
T2M,2022,-3.5,34.375,22.55,20.63,22.99,23.48,23.02,21.84,21.73,22.85,23.63,25.63,25.12,23.55,23.1
T2M,2022,-3.5,35.0,21.33,19.92,21.75,21.73,21.29,19.64,18.81,19.54,20.76,22.52,23.08,22.73,21.1
T2M,2022,-3.5,35.625,19.79,19.02,20.8,20.31,19.49,17.63,16.87,17.14,18.32,20.06,21.12,21.28,19.32
T2M,2022,-3.5,36.25,21.9,21.01,22.8,22.34,21.35,19.63,18.93,19.01,20.07,22.05,23.19,23.15,21.29
T2M,2022,-3.5,36.875,21.98,21.41,22.76,21.77,20.61,18.88,18.04,17.89,18.58,20.03,22.01,22.57,20.54
T2M,2022,-3.5,37.5,25.11,24.44,26.2,24.84,23.25,21.51,20.28,20.73,21.02,22.6,24.3,24.82,23.25
T2M,2022,-3.5,38.125,23.5,24.13,25.49,23.61,22.2,20.48,18.85,19.43,19.55,20.83,22.36,22.89,21.93
T2M,2022,-3.5,38.75,25.65,26.48,27.2,25.57,24.05,22.56,20.82,21.45,21.64,22.69,24.17,24.95,23.92
T2M,2022,-3.5,39.375,27.7,28.67,28.96,27.36,25.17,23.88,22.44,23.3,23.43,24.37,25.4,26.83,25.61
T2M,2022,-3.5,40.0,27.82,27.88,28.13,28.48,27.32,26.21,24.73,24.53,24.78,25.31,26.81,27.72,26.63
T2M,2022,-4.0,31.875,21.54,20.86,22.33,22.08,21.61,21.0,21.43,23.23,24.99,26.06,23.89,22.71,22.66
T2M,2022,-4.0,32.5,21.63,20.78,22.43,21.99,21.23,20.12,20.25,22.26,24.12,25.79,23.96,22.21,22.24
T2M,2022,-4.0,33.125,21.78,20.76,22.46,22.01,21.18,20.13,20.31,22.45,24.27,26.12,24.65,22.43,22.39
T2M,2022,-4.0,33.75,22.71,21.17,23.17,23.32,22.79,21.98,22.05,23.97,25.21,27.05,25.74,23.59,23.58
T2M,2022,-4.0,34.375,22.78,21.04,23.2,23.45,23.1,22.02,21.78,23.32,24.31,26.2,25.48,23.88,23.39
T2M,2022,-4.0,35.0,21.13,19.46,21.32,21.29,21.04,19.47,18.63,19.56,20.78,22.45,22.85,22.26,20.86
T2M,2022,-4.0,35.625,20.25,18.93,20.94,20.47,19.77,17.77,17.02,17.66,18.82,20.44,21.45,21.26,19.57
T2M,2022,-4.0,36.25,22.36,20.92,23.03,22.5,21.69,19.74,18.97,19.42,20.46,22.43,23.51,23.27,21.53
T2M,2022,-4.0,36.875,22.52,21.49,23.42,22.39,21.3,19.44,18.54,18.85,19.65,21.39,22.7,23.0,21.22
T2M,2022,-4.0,37.5,23.94,23.28,25.57,23.81,22.53,20.87,19.64,20.22,20.67,22.29,23.69,24.11,22.55
T2M,2022,-4.0,38.125,25.2,25.19,27.07,24.58,23.38,21.85,19.99,20.74,20.77,22.3,23.71,24.64,23.28
T2M,2022,-4.0,38.75,26.42,26.9,27.82,25.56,24.1,22.69,20.73,21.38,21.6,22.77,24.38,25.51,24.14
T2M,2022,-4.0,39.375,28.02,28.69,28.94,27.58,25.64,24.44,23.06,23.73,23.75,24.74,26.0,27.4,25.98
T2M,2022,-4.0,40.0,27.61,27.46,27.63,28.55,27.6,26.46,24.99,24.55,24.92,25.34,26.87,27.68,26.63
T2M,2022,-4.5,31.875,21.78,21.3,22.58,22.12,21.63,20.98,21.41,23.63,25.39,27.05,24.63,23.07,22.97
T2M,2022,-4.5,32.5,21.52,20.84,22.36,21.83,21.01,19.71,19.96,22.01,23.88,25.74,24.26,22.22,22.12
T2M,2022,-4.5,33.125,21.43,20.5,22.15,21.59,20.66,19.22,19.28,21.25,23.22,25.13,24.17,22.04,21.73
T2M,2022,-4.5,33.75,22.63,21.09,23.03,22.89,22.24,20.97,20.77,22.76,24.5,26.44,25.49,23.29,23.02
T2M,2022,-4.5,34.375,21.65,20.02,22.2,22.05,21.24,19.81,19.39,21.1,22.66,24.56,24.24,22.61,21.8
T2M,2022,-4.5,35.0,20.63,18.5,20.82,20.49,19.87,17.89,17.14,18.26,19.57,21.36,21.8,21.27,19.81
T2M,2022,-4.5,35.625,20.92,19.03,21.58,20.81,19.99,17.83,17.11,17.99,19.1,20.7,21.61,21.46,19.85
T2M,2022,-4.5,36.25,22.86,21.07,23.58,22.76,21.82,19.8,18.98,19.68,20.58,22.46,23.64,23.53,21.74
T2M,2022,-4.5,36.875,22.47,21.38,23.56,22.16,21.04,19.23,18.27,18.85,19.27,20.83,22.39,22.74,21.02
T2M,2022,-4.5,37.5,23.44,22.91,24.89,23.21,21.8,20.22,19.07,19.55,20.0,21.37,23.19,23.66,21.94
T2M,2022,-4.5,38.125,23.52,23.65,25.58,23.56,21.82,20.41,18.82,19.45,19.85,21.0,22.81,23.55,21.99
T2M,2022,-4.5,38.75,26.03,26.54,27.77,25.89,24.38,23.19,21.33,21.79,22.0,22.75,24.62,25.66,24.32
T2M,2022,-4.5,39.375,28.1,28.46,28.69,28.17,26.84,25.73,24.22,24.3,24.41,24.98,26.62,27.72,26.51
T2M,2022,-4.5,40.0,27.7,27.55,27.66,28.58,27.65,26.48,25.07,24.57,25.01,25.42,26.94,27.74,26.69
T2M,2022,-5.0,31.875,21.91,21.5,22.66,22.19,21.72,20.7,21.13,23.27,24.86,26.97,24.51,22.77,22.86
T2M,2022,-5.0,32.5,21.54,21.01,22.27,21.67,20.82,19.25,19.54,21.69,23.27,25.53,24.16,22.06,21.91
T2M,2022,-5.0,33.125,21.13,20.36,21.83,21.08,20.18,18.48,18.61,20.57,22.25,24.41,23.66,21.68,21.19
T2M,2022,-5.0,33.75,22.27,20.96,22.64,22.04,21.43,19.92,19.96,21.9,23.61,25.58,25.05,22.8,22.35
T2M,2022,-5.0,34.375,22.57,20.19,22.14,21.81,21.26,19.51,19.32,21.02,22.64,24.44,24.41,22.97,21.87
T2M,2022,-5.0,35.0,21.55,19.17,20.95,20.5,19.77,17.71,17.47,19.0,20.7,22.23,22.61,22.1,20.32
T2M,2022,-5.0,35.625,22.65,20.08,22.95,22.55,21.54,19.21,18.81,20.32,21.82,23.12,23.44,23.19,21.65
T2M,2022,-5.0,36.25,21.58,19.99,22.17,21.57,20.67,18.59,18.0,19.2,20.33,21.72,22.26,22.15,20.69
T2M,2022,-5.0,36.875,22.32,21.29,22.92,21.94,20.95,19.24,18.37,19.3,19.74,21.18,22.42,22.57,21.02
T2M,2022,-5.0,37.5,22.76,22.23,23.43,22.48,21.11,19.68,18.9,19.52,20.1,21.36,22.93,23.16,21.47
T2M,2022,-5.0,38.125,23.61,23.62,24.85,23.44,21.62,20.66,19.16,19.81,20.39,21.49,23.28,23.68,22.12
T2M,2022,-5.0,38.75,25.19,25.38,26.54,25.25,23.71,22.86,21.13,21.64,22.05,23.0,24.6,25.16,23.87
T2M,2022,-5.0,39.375,27.77,27.91,28.22,28.37,27.22,26.16,24.73,24.52,24.91,25.44,27.07,27.83,26.67
T2M,2022,-5.0,40.0,27.95,27.92,28.14,28.64,27.55,26.42,25.04,24.64,25.09,25.64,27.31,28.03,26.86
T2M,2022,-5.5,31.875,21.9,21.49,22.6,22.12,21.54,20.06,20.58,22.54,24.21,26.65,24.19,22.49,22.54
T2M,2022,-5.5,32.5,21.64,21.18,22.29,21.69,20.91,19.25,19.65,21.77,23.16,25.68,24.33,22.21,21.99
T2M,2022,-5.5,33.125,21.23,20.54,21.82,21.13,20.26,18.52,18.76,20.77,22.26,24.57,23.93,21.75,21.3
T2M,2022,-5.5,33.75,21.41,20.23,21.76,21.06,20.23,18.51,18.7,20.52,22.1,24.21,23.98,21.91,21.22
T2M,2022,-5.5,34.375,21.49,19.75,21.31,20.69,19.88,18.04,18.19,19.84,21.35,23.36,23.51,22.05,20.8
T2M,2022,-5.5,35.0,22.88,20.4,21.95,21.44,20.64,18.57,18.7,20.26,21.9,23.65,24.18,23.49,21.51
T2M,2022,-5.5,35.625,23.76,21.09,23.18,22.84,21.77,19.74,19.5,21.03,22.81,24.42,25.07,24.43,22.48
T2M,2022,-5.5,36.25,21.75,19.98,21.46,20.82,19.77,17.66,17.51,18.87,20.49,22.0,22.67,22.19,20.43
T2M,2022,-5.5,36.875,21.31,20.29,21.1,20.39,19.45,17.29,16.98,18.22,19.56,21.21,22.02,21.6,19.95
T2M,2022,-5.5,37.5,21.69,21.43,21.79,20.8,19.41,18.06,17.64,18.64,19.84,21.3,22.4,21.85,20.4
T2M,2022,-5.5,38.125,23.97,23.88,24.5,23.5,22.01,21.31,19.97,20.93,21.93,23.38,24.36,24.27,22.83
T2M,2022,-5.5,38.75,26.25,26.23,26.97,26.11,24.88,24.29,22.67,23.22,23.9,25.02,26.22,26.44,25.18
T2M,2022,-5.5,39.375,27.87,27.89,28.22,28.39,27.35,26.27,24.95,24.65,25.11,25.6,27.18,27.99,26.78
T2M,2022,-5.5,40.0,28.15,28.05,28.26,28.51,27.5,26.38,24.99,24.48,24.99,25.49,27.28,28.11,26.84
T2M,2022,-6.0,31.875,21.89,21.4,22.41,21.98,21.34,19.62,20.05,21.97,23.6,26.08,24.42,22.53,22.28
T2M,2022,-6.0,32.5,21.78,21.34,22.33,21.79,20.85,18.9,19.34,21.46,22.96,25.55,24.46,22.42,21.94
T2M,2022,-6.0,33.125,21.33,20.71,21.85,21.28,20.37,18.57,18.85,20.85,22.24,24.56,23.94,21.92,21.38
T2M,2022,-6.0,33.75,20.5,19.51,20.84,20.16,19.07,17.16,17.17,18.73,20.24,22.29,22.49,20.95,19.93
T2M,2022,-6.0,34.375,20.83,19.63,20.82,20.13,18.96,17.0,17.01,18.51,20.08,22.01,22.61,21.36,19.91
T2M,2022,-6.0,35.0,23.87,21.52,22.74,22.33,21.39,19.39,19.55,21.16,22.71,24.51,25.31,24.59,22.43
